transaction_id,customer_id,timestamp,amount,payment_method,device_id,location,failed_attempts,account_age_days,previous_chargebacks,transaction_status,is_fraud
TX10610,C1018,2026-06-06 18:24:11,3468.97,Debit Card,DEV_5498,Mumbai,0,797,0,historical,0
TX10263,C1007,2026-06-06 20:32:11,6739.42,Credit Card,DEV_2645,Noida,1,315,0,historical,0
TX11047,C1047,2026-06-07 05:10:11,29206.37,Netbanking,DEV_4137,Gurugram,5,504,0,historical,1
TX10882,C1027,2026-06-07 10:52:11,17562.74,Credit Card,DEV_2006,Hyderabad,3,354,0,historical,1
TX10751,C1008,2026-06-07 13:04:11,5755.78,UPI,DEV_9033,Noida,0,402,0,historical,0
TX10520,C1007,2026-06-07 13:10:11,2259.48,Credit Card,DEV_2645,Pune,0,315,0,historical,0
TX10271,C1014,2026-06-07 15:04:11,3191.76,Credit Card,DEV_7098,Pune,0,335,2,historical,0
TX10964,C1001,2026-06-07 20:46:11,3792.41,Debit Card,DEV_1626,Pune,1,281,0,historical,0
TX10466,C1030,2026-06-07 22:37:11,1522.35,Netbanking,DEV_9531,Delhi,0,899,0,historical,0
TX10116,C1013,2026-06-08 01:40:11,34995.85,UPI,DEV_9123,Hyderabad,3,538,0,historical,1
TX10654,C1040,2026-06-08 05:41:11,6383.26,Debit Card,DEV_1444,Hyderabad,0,243,0,historical,0
TX10152,C1039,2026-06-08 05:59:11,17587.91,Wallet,DEV_1419,Ahmedabad,1,669,0,historical,0
TX10559,C1033,2026-06-08 07:07:11,13399.79,Netbanking,DEV_8140,Bengaluru,0,869,0,historical,0
TX11008,C1011,2026-06-08 08:44:11,9057.87,Netbanking,DEV_6825,Kolkata,0,244,0,historical,0
TX10060,C1002,2026-06-08 09:55:11,6017.41,Wallet,DEV_4276,Gurugram,1,446,0,historical,0
TX10986,C1010,2026-06-08 11:55:11,17430.07,Credit Card,DEV_1057,New York,4,342,0,historical,1
TX10834,C1047,2026-06-08 14:25:11,5557.7,Debit Card,DEV_4137,Gurugram,1,504,0,historical,0
TX10815,C1047,2026-06-08 15:13:11,1918.4,Debit Card,DEV_4137,Gurugram,0,504,0,historical,0
TX10893,C1030,2026-06-08 15:50:11,4713.38,Netbanking,DEV_8913,Delhi,0,899,0,historical,0
TX10779,C1008,2026-06-08 17:10:11,6800.04,Netbanking,DEV_3788,Noida,0,402,0,historical,0
TX10553,C1007,2026-06-08 17:37:11,7701.17,Netbanking,DEV_8767,Pune,0,315,0,historical,0
TX10671,C1006,2026-06-09 00:40:11,3315.36,Netbanking,DEV_2390,Bengaluru,0,435,0,historical,0
TX10982,C1041,2026-06-09 03:19:11,1194.86,Debit Card,DEV_7952,Mumbai,0,341,0,historical,0
TX10367,C1043,2026-06-09 07:12:11,1471.47,UPI,DEV_5498,Hyderabad,0,374,0,historical,0
TX10156,C1004,2026-06-09 08:09:11,10902.85,Credit Card,DEV_9066,Chennai,0,135,0,historical,0
TX10232,C1005,2026-06-09 09:19:11,1671.23,Netbanking,DEV_7256,Jaipur,0,481,0,historical,0
TX10699,C1036,2026-06-09 09:50:11,3111.59,Credit Card,DEV_2390,Noida,0,647,0,historical,0
TX10901,C1010,2026-06-09 09:51:11,5987.93,UPI,DEV_8913,Hyderabad,0,342,0,historical,0
TX10670,C1021,2026-06-09 17:17:11,2095.55,Wallet,DEV_3682,Bengaluru,0,368,0,historical,0
TX10826,C1020,2026-06-09 20:23:11,864.82,Wallet,DEV_5498,Chennai,0,172,0,historical,0
TX10605,C1035,2026-06-09 20:25:11,13710.24,Credit Card,DEV_2056,Pune,0,31,0,historical,0
