transaction_id,customer_id,timestamp,amount,payment_method,device_id,location,failed_attempts,account_age_days,previous_chargebacks,transaction_status,is_fraud
TX10341,C1001,2026-06-07 05:25:55,29603.49,Netbanking,DEV_FRAUD_BURST_99,New York,2,408,0,historical,1
TX10115,C1039,2026-06-07 05:48:55,20374.4,Credit Card,DEV_FRAUD_BURST_99,London,2,292,0,historical,1
TX10067,C1038,2026-06-07 14:22:55,12367.77,Netbanking,DEV_FRAUD_BURST_99,London,2,530,1,historical,1
TX10396,C1024,2026-06-07 21:01:55,12209.31,Wallet,DEV_9239,Bengaluru,2,288,0,historical,1
TX10134,C1019,2026-06-07 23:17:55,3573.42,Wallet,DEV_2377,Delhi,1,463,0,historical,0
TX10124,C1031,2026-06-08 11:23:55,11464.87,Netbanking,DEV_FRAUD_BURST_99,London,2,53,0,historical,1
TX10481,C1029,2026-06-08 12:01:55,6690.71,Wallet,DEV_8857,New York,4,747,0,historical,1
TX10209,C1015,2026-06-08 16:56:55,3096.6,Netbanking,DEV_2584,Chennai,0,737,0,historical,0
TX10169,C1019,2026-06-08 20:04:55,7889.83,UPI,DEV_5923,Chennai,3,463,0,historical,1
TX10327,C1014,2026-06-09 02:39:55,3758.89,Netbanking,DEV_9250,Gurugram,0,597,0,historical,0
TX10162,C1006,2026-06-09 03:41:55,1408.86,UPI,DEV_1267,Noida,0,291,0,historical,0
TX10323,C1033,2026-06-09 06:01:55,6332.54,Debit Card,DEV_5234,Gurugram,0,643,0,historical,0
TX10261,C1018,2026-06-09 08:02:55,6003.81,Wallet,DEV_7068,Mumbai,0,191,0,historical,0
TX10401,C1026,2026-06-09 21:33:55,4027.06,Debit Card,DEV_3639,Chennai,0,774,0,historical,0
TX10152,C1001,2026-06-09 22:10:55,6941.44,UPI,DEV_7333,Chennai,0,408,0,historical,0
TX10488,C1011,2026-06-10 01:56:55,6666.37,Netbanking,DEV_9250,Noida,0,534,0,historical,0
TX10310,C1032,2026-06-10 03:44:55,6259.66,UPI,DEV_9830,Gurugram,1,665,0,historical,1
TX10369,C1014,2026-06-10 07:28:55,25242.62,Credit Card,DEV_9250,Gurugram,4,597,0,historical,1
TX10058,C1020,2026-06-10 15:55:55,21222.87,Credit Card,DEV_3891,New York,2,262,0,historical,1
TX10274,C1037,2026-06-10 22:13:55,4665.51,Debit Card,DEV_6999,Gurugram,0,260,1,historical,0
TX10107,C1017,2026-06-11 01:03:55,5471.03,Debit Card,DEV_9551,Jaipur,0,116,0,historical,0
TX10290,C1009,2026-06-11 01:10:55,3339.25,Netbanking,DEV_4918,Bengaluru,0,517,0,historical,0
TX10237,C1028,2026-06-11 01:24:55,1729.54,Credit Card,DEV_3639,Gurugram,0,690,1,historical,0
TX10271,C1000,2026-06-11 15:53:55,6027.23,Netbanking,DEV_9239,Mumbai,0,633,0,historical,0
TX10321,C1031,2026-06-11 20:56:55,3077.89,Wallet,DEV_7166,Ahmedabad,0,53,0,historical,0
TX10018,C1034,2026-06-12 00:02:55,2751.47,Credit Card,DEV_8394,Jaipur,0,472,0,historical,0
