transaction_id,customer_id,timestamp,amount,payment_method,device_id,location,failed_attempts,account_age_days,previous_chargebacks,transaction_status,is_fraud
TX10231,C1036,2026-05-29 17:42:34,7671.79,Debit Card,DEV_2500,Pune,2,400,1,historical,1
TX10099,C1007,2026-05-30 00:29:34,4081.48,Credit Card,DEV_2378,Delhi,0,221,0,historical,0
TX10417,C1015,2026-05-30 02:28:34,1948.95,Debit Card,DEV_3365,Delhi,0,362,0,historical,0
TX10413,C1027,2026-05-30 06:20:34,9643.24,Credit Card,DEV_8857,Hyderabad,1,16,0,historical,1
TX10399,C1030,2026-05-31 05:11:34,3117.51,UPI,DEV_2612,Gurugram,0,503,0,historical,0
TX10283,C1032,2026-05-31 06:35:34,2448.69,Debit Card,DEV_8771,Jaipur,0,469,0,historical,0
TX10219,C1014,2026-05-31 17:10:34,1004.32,Netbanking,DEV_3943,Jaipur,0,324,0,historical,0
TX10137,C1008,2026-05-31 17:49:34,6450.02,UPI,DEV_3056,Chennai,0,31,1,historical,0
TX10455,C1020,2026-05-31 18:21:34,2770.82,UPI,DEV_6001,Jaipur,0,56,0,historical,0
TX10433,C1024,2026-05-31 21:50:34,1162.77,Credit Card,DEV_5391,Bengaluru,0,287,0,historical,0
TX10334,C1003,2026-06-01 00:24:34,22435.03,Debit Card,DEV_6845,Bengaluru,4,398,0,historical,1
TX10188,C1009,2026-06-01 04:36:34,2078.1,Netbanking,DEV_9316,Ahmedabad,0,282,0,historical,0
TX10501,C1004,2026-06-01 09:01:34,4288.23,Wallet,DEV_6864,Delhi,0,595,0,historical,0
TX10054,C1021,2026-06-01 12:37:34,8542.08,Wallet,DEV_7512,Jaipur,0,617,0,historical,0
TX10434,C1009,2026-06-01 16:00:34,4086.8,UPI,DEV_2801,Ahmedabad,1,282,0,historical,1
TX10394,C1023,2026-06-01 16:38:34,2501.93,UPI,DEV_7293,Gurugram,0,252,0,historical,0
TX10184,C1033,2026-06-01 20:39:34,5509.88,UPI,DEV_6033,Ahmedabad,0,377,0,historical,0
TX10519,C1015,2026-06-02 08:15:34,2292.35,Debit Card,DEV_3365,Delhi,0,362,0,historical,0
TX10437,C1012,2026-06-02 09:25:34,2268.36,Debit Card,DEV_9485,Kolkata,0,832,0,historical,0
TX10347,C1010,2026-06-02 10:30:34,1627.26,Netbanking,DEV_6001,Jaipur,0,187,0,historical,0
TX10431,C1038,2026-06-02 14:14:34,5800.78,Netbanking,DEV_2980,Noida,0,168,0,historical,0
TX10383,C1038,2026-06-02 14:48:34,14887.71,Debit Card,DEV_FRAUD_BURST_99,New York,2,168,0,historical,1
TX10104,C1037,2026-06-02 16:30:34,1296.23,UPI,DEV_3056,Gurugram,0,252,0,historical,0
TX10026,C1022,2026-06-02 20:21:34,6051.35,Credit Card,DEV_9382,Gurugram,0,555,0,historical,0
TX10050,C1032,2026-06-02 21:45:34,5055.33,Debit Card,DEV_8261,Jaipur,2,469,0,historical,1
TX10281,C1032,2026-06-03 02:18:34,1189.12,Debit Card,DEV_9382,Jaipur,0,469,0,historical,0
TX10360,C1007,2026-06-03 05:11:34,14856.84,UPI,DEV_FRAUD_BURST_99,New York,2,221,0,historical,1
TX10527,C1002,2026-06-03 08:08:34,1587.95,Credit Card,DEV_8857,Hyderabad,0,326,0,historical,0
TX10065,C1007,2026-06-03 08:30:34,4037.81,Credit Card,DEV_2378,Delhi,0,221,0,historical,0
TX10404,C1023,2026-06-03 13:22:34,1990.16,Netbanking,DEV_7293,Gurugram,0,252,0,historical,0
TX10195,C1014,2026-06-03 14:10:34,1787.42,UPI,DEV_3943,Kolkata,0,324,0,historical,0
TX10147,C1034,2026-06-03 14:33:34,10377.14,Wallet,DEV_FRAUD_BURST_99,New York,2,898,0,historical,1
TX10109,C1026,2026-06-03 19:58:34,15337.78,Debit Card,DEV_7464,New York,2,259,0,historical,1
TX10107,C1039,2026-06-03 20:11:34,1337.63,Debit Card,DEV_1656,Jaipur,0,653,0,historical,0
TX10364,C1018,2026-06-03 20:37:34,6655.17,Netbanking,DEV_4567,Jaipur,0,518,0,historical,0
TX10207,C1038,2026-06-03 23:58:34,6256.65,Wallet,DEV_2980,Kolkata,0,168,0,historical,0
TX10463,C1005,2026-06-04 01:31:34,2390.29,Netbanking,DEV_4832,Ahmedabad,0,465,0,historical,0
TX10306,C1015,2026-06-04 02:40:34,25678.69,Debit Card,DEV_3365,Delhi,3,362,0,historical,1
TX10162,C1034,2026-06-04 02:57:34,9680.82,Debit Card,DEV_FRAUD_BURST_99,London,2,898,0,historical,1
TX10101,C1032,2026-06-04 04:29:34,14126.79,Wallet,DEV_9382,Jaipur,4,469,0,historical,1
TX10215,C1011,2026-06-04 05:29:34,1137.28,Credit Card,DEV_1195,Delhi,0,527,0,historical,0
TX10489,C1006,2026-06-04 09:15:34,4424.71,Netbanking,DEV_4370,Ahmedabad,0,211,0,historical,0
TX10167,C1022,2026-06-05 00:45:34,2986.7,Credit Card,DEV_9382,Gurugram,0,555,0,historical,0
TX10276,C1013,2026-06-05 02:54:34,3663.67,Credit Card,DEV_9485,Ahmedabad,0,146,0,historical,0
TX10418,C1036,2026-06-05 05:32:34,11629.12,Credit Card,DEV_FRAUD_BURST_99,New York,2,400,1,historical,1
TX10060,C1019,2026-06-05 08:06:34,3567.04,Credit Card,DEV_4744,Jaipur,1,181,0,historical,0
TX10408,C1004,2026-06-05 11:39:34,8948.87,Netbanking,DEV_FRAUD_BURST_99,London,2,595,0,historical,1
TX10005,C1013,2026-06-05 21:06:34,3493.9,Debit Card,DEV_1668,Ahmedabad,0,146,0,historical,0
TX10154,C1031,2026-06-06 07:12:34,6552.15,Debit Card,DEV_FRAUD_BURST_99,New York,2,896,0,historical,1
TX10491,C1016,2026-06-06 07:40:34,1910.18,Wallet,DEV_5391,Ahmedabad,0,846,0,historical,0
TX10368,C1038,2026-06-06 08:03:34,12753.59,Netbanking,DEV_FRAUD_BURST_99,New York,2,168,0,historical,1
TX10125,C1034,2026-06-06 08:36:34,2414.03,Credit Card,DEV_5391,Noida,0,898,0,historical,0
TX10447,C1023,2026-06-06 13:50:34,4582.77,Credit Card,DEV_7293,Gurugram,0,252,0,historical,0
TX10423,C1034,2026-06-06 16:58:34,2528.77,Credit Card,DEV_5391,Noida,1,898,0,historical,0
TX10100,C1030,2026-06-06 22:40:34,12098.83,Credit Card,DEV_FRAUD_BURST_99,New York,2,503,0,historical,1
TX10409,C1004,2026-06-07 10:44:34,2596.76,Wallet,DEV_6864,Delhi,0,595,0,historical,0
TX10289,C1003,2026-06-07 15:08:34,21101.77,Netbanking,DEV_6845,Bengaluru,4,398,0,historical,1
TX10526,C1028,2026-06-08 04:38:34,9222.14,UPI,DEV_FRAUD_BURST_99,New York,2,764,0,historical,1
TX10414,C1020,2026-06-08 04:54:34,7344.15,Debit Card,DEV_6001,Jaipur,0,56,0,historical,0
TX10473,C1023,2026-06-08 11:16:34,10518.68,Netbanking,DEV_4535,New York,1,252,0,historical,1
TX10066,C1022,2026-06-09 07:07:34,14088.37,Wallet,DEV_5739,London,2,555,0,historical,1
TX10150,C1013,2026-06-09 19:13:34,8418.08,Credit Card,DEV_1257,Ahmedabad,2,146,0,historical,1
TX10477,C1012,2026-06-10 02:14:34,4697.81,Debit Card,DEV_6001,Kolkata,0,832,0,historical,0
TX10222,C1024,2026-06-10 04:59:34,3286.63,Credit Card,DEV_8949,Bengaluru,3,287,0,historical,1
TX10003,C1031,2026-06-10 09:21:34,1789.73,Wallet,DEV_6033,Jaipur,0,896,0,historical,0
TX10287,C1010,2026-06-10 14:14:34,1325.4,Netbanking,DEV_6001,Jaipur,0,187,0,historical,0
TX10241,C1020,2026-06-10 18:11:34,7476.79,Credit Card,DEV_6001,Jaipur,0,56,0,historical,0
TX10344,C1037,2026-06-10 18:28:34,5514.7,Credit Card,DEV_FRAUD_BURST_99,New York,2,252,0,historical,1
TX10237,C1032,2026-06-11 11:16:34,1735.1,Debit Card,DEV_8261,Jaipur,0,469,0,historical,0
TX10263,C1035,2026-06-11 11:23:34,4509.29,Credit Card,DEV_8380,Bengaluru,0,373,0,historical,0
TX10034,C1027,2026-06-11 12:50:34,10696.19,Debit Card,DEV_1078,Hyderabad,2,16,0,historical,1
TX10166,C1034,2026-06-11 22:06:34,3150.46,Debit Card,DEV_5391,Noida,0,898,0,historical,0
TX10035,C1020,2026-06-12 04:33:34,2903.66,Debit Card,DEV_6001,Jaipur,0,56,0,historical,0
TX10385,C1023,2026-06-12 06:30:34,4547.75,Wallet,DEV_7293,Gurugram,0,252,0,historical,0
TX10377,C1013,2026-06-12 09:37:34,32295.25,Credit Card,DEV_1668,Ahmedabad,5,146,0,historical,1
TX10164,C1024,2026-06-12 17:16:34,15911.86,Wallet,DEV_5391,Bengaluru,2,287,0,historical,1
TX10310,C1022,2026-06-12 18:54:34,16291.83,Credit Card,DEV_5689,New York,3,555,0,historical,1
TX10512,C1012,2026-06-12 19:46:34,4659.71,Credit Card,DEV_8261,Kolkata,0,832,0,historical,0
TX10338,C1019,2026-06-12 22:06:34,2368.2,Credit Card,DEV_7464,Jaipur,0,181,0,historical,0
TX10037,C1021,2026-06-12 22:40:34,28713.17,Debit Card,DEV_5391,London,4,617,0,historical,1
TX10444,C1037,2026-06-13 01:03:34,7907.54,Wallet,DEV_FRAUD_BURST_99,New York,2,252,0,historical,1
TX10103,C1017,2026-06-13 02:46:34,2474.94,Credit Card,DEV_2780,Jaipur,0,864,0,historical,0
TX10388,C1025,2026-06-13 06:50:34,7255.32,Debit Card,DEV_2392,Delhi,3,155,0,historical,1
TX10142,C1014,2026-06-13 13:30:34,1037.3,Netbanking,DEV_3943,Jaipur,0,324,0,historical,0
TX10416,C1005,2026-06-13 16:26:34,4377.43,Netbanking,DEV_4832,Ahmedabad,0,465,0,historical,0
TX10402,C1036,2026-06-13 16:29:34,4134.83,Debit Card,DEV_9485,Pune,0,400,1,historical,0
TX10249,C1013,2026-06-13 19:46:34,7750.4,Wallet,DEV_8951,Ahmedabad,3,146,0,historical,1
TX10191,C1010,2026-06-13 20:16:34,1019.1,Netbanking,DEV_6001,Jaipur,0,187,0,historical,0
TX10210,C1017,2026-06-14 01:13:34,3711.61,UPI,DEV_2780,Jaipur,0,864,0,historical,0
TX10189,C1023,2026-06-14 04:31:34,1860.15,Debit Card,DEV_7293,Gurugram,0,252,0,historical,0
TX10282,C1031,2026-06-14 04:41:34,11699.9,Credit Card,DEV_5834,New York,3,896,0,historical,1
TX10244,C1020,2026-06-14 09:45:34,7446.34,Credit Card,DEV_6001,Jaipur,0,56,0,historical,0
TX10366,C1011,2026-06-14 09:46:34,512.94,UPI,DEV_1195,Noida,0,527,0,historical,0
TX10059,C1004,2026-06-14 10:10:34,4237.92,Debit Card,DEV_6864,Delhi,0,595,0,historical,0
TX10371,C1000,2026-06-14 19:54:34,8654.3,Wallet,DEV_9877,Jaipur,1,183,0,historical,1
TX10498,C1005,2026-06-15 02:48:34,2142.03,Wallet,DEV_4832,Ahmedabad,0,465,0,historical,0
TX10459,C1032,2026-06-15 06:10:34,7361.14,Netbanking,DEV_FRAUD_BURST_99,New York,2,469,0,historical,1
TX10020,C1007,2026-06-15 07:56:34,14102.65,Credit Card,DEV_FRAUD_BURST_99,London,2,221,0,historical,1
TX10240,C1025,2026-06-15 10:58:34,2543.06,Wallet,DEV_9485,Delhi,2,155,0,historical,1
TX10407,C1008,2026-06-15 22:54:34,5234.63,Wallet,DEV_3056,Chennai,0,31,1,historical,0
TX10401,C1001,2026-06-16 12:26:34,3850.88,Netbanking,DEV_7464,Hyderabad,5,714,0,historical,1
TX10484,C1026,2026-06-16 18:39:34,14801.47,Credit Card,DEV_4099,New York,1,259,0,historical,1
TX10299,C1010,2026-06-16 21:01:34,751.65,UPI,DEV_6001,Jaipur,0,187,0,historical,0
TX10422,C1002,2026-06-16 22:59:34,10417.91,Credit Card,DEV_FRAUD_BURST_99,New York,2,326,0,historical,1
TX10500,C1013,2026-06-17 05:17:34,6101.37,Credit Card,DEV_1668,Mumbai,0,146,0,historical,0
TX10453,C1013,2026-06-17 07:54:34,9954.82,Netbanking,DEV_FRAUD_BURST_99,London,2,146,0,historical,1
TX10176,C1017,2026-06-17 10:03:34,14210.95,Wallet,DEV_FRAUD_BURST_99,London,2,864,0,historical,1
TX10110,C1023,2026-06-17 15:15:34,1952.01,Wallet,DEV_7293,Gurugram,0,252,0,historical,0
TX10515,C1037,2026-06-17 20:44:34,3754.87,Debit Card,DEV_3368,Gurugram,3,252,0,historical,1
TX10307,C1001,2026-06-17 21:30:34,1707.54,UPI,DEV_FRAUD_BURST_99,New York,2,714,0,historical,1
TX10190,C1019,2026-06-17 21:45:34,3923.24,UPI,DEV_8054,Jaipur,1,181,0,historical,1
TX10163,C1024,2026-06-17 23:02:34,11070.45,Netbanking,DEV_5391,Bengaluru,2,287,0,historical,1
TX10116,C1021,2026-06-17 23:24:34,8484.59,Credit Card,DEV_7512,Jaipur,1,617,0,historical,0
TX10381,C1004,2026-06-18 00:50:34,3885.23,Wallet,DEV_6864,Delhi,1,595,0,historical,0
TX10448,C1034,2026-06-18 08:25:34,2722.37,UPI,DEV_5391,Noida,0,898,0,historical,0
TX10236,C1037,2026-06-18 15:03:34,5638.31,Credit Card,DEV_9211,New York,4,252,0,historical,1
TX10078,C1015,2026-06-18 15:08:34,4108.28,Debit Card,DEV_3365,Delhi,1,362,0,historical,0
TX10456,C1006,2026-06-18 21:02:34,3054.36,Wallet,DEV_5391,Kolkata,0,211,0,historical,0
TX10253,C1002,2026-06-18 21:40:34,1814.17,Credit Card,DEV_1245,Hyderabad,0,326,0,historical,0
TX10517,C1007,2026-06-19 00:23:34,6307.22,Debit Card,DEV_2378,Delhi,0,221,0,historical,0
TX10156,C1037,2026-06-19 07:44:34,4538.14,Credit Card,DEV_FRAUD_BURST_99,New York,2,252,0,historical,1
TX10326,C1008,2026-06-19 11:39:34,6240.44,Netbanking,DEV_3056,Chennai,0,31,1,historical,0
TX10123,C1008,2026-06-19 21:39:34,12533.87,Wallet,DEV_2392,Chennai,2,31,1,historical,1
TX10036,C1000,2026-06-20 05:33:34,32550.13,UPI,DEV_9211,Jaipur,2,183,0,historical,1
TX10435,C1018,2026-06-20 09:10:34,2042.91,Netbanking,DEV_4567,Jaipur,0,518,0,historical,0
TX10197,C1017,2026-06-20 12:38:34,1991.8,Debit Card,DEV_2780,Jaipur,0,864,0,historical,0
TX10513,C1039,2026-06-20 18:25:34,17946.95,Wallet,DEV_1656,Chennai,2,653,0,historical,1
TX10007,C1008,2026-06-20 23:11:34,2752.74,UPI,DEV_2612,Chennai,0,31,1,historical,0
TX10069,C1026,2026-06-20 23:23:34,4459.01,UPI,DEV_3056,Chennai,3,259,0,historical,1
TX10343,C1011,2026-06-20 23:59:34,786.51,UPI,DEV_1195,Noida,0,527,0,historical,0
TX10075,C1039,2026-06-21 00:22:34,3933.38,Netbanking,DEV_1656,Bengaluru,0,653,0,historical,0
TX10211,C1029,2026-06-21 04:56:34,3790.89,Netbanking,DEV_8380,Noida,0,719,0,historical,0
TX10421,C1011,2026-06-21 07:18:34,1079.1,Credit Card,DEV_5280,Noida,0,527,0,historical,0
TX10045,C1002,2026-06-21 11:12:34,4482.4,Credit Card,DEV_9316,Hyderabad,0,326,0,historical,0
TX10019,C1011,2026-06-21 16:27:34,398.78,Credit Card,DEV_1195,Noida,0,527,0,historical,0
TX10031,C1024,2026-06-21 17:44:34,2516.98,Credit Card,DEV_5391,Bengaluru,0,287,0,historical,0
TX10474,C1000,2026-06-21 17:47:34,21579.81,Credit Card,DEV_9211,Jaipur,3,183,0,historical,1
TX10304,C1011,2026-06-21 23:04:34,976.36,Netbanking,DEV_1195,Noida,0,527,0,historical,0
TX10436,C1039,2026-06-22 02:59:34,3032.03,UPI,DEV_1656,Chennai,0,653,0,historical,0
TX10393,C1034,2026-06-22 08:06:34,2950.02,Credit Card,DEV_5391,Chennai,0,898,0,historical,0
TX10406,C1004,2026-06-22 14:50:34,8604.54,Wallet,DEV_1078,Delhi,3,595,0,historical,1
TX10057,C1031,2026-06-22 16:06:34,1701.55,UPI,DEV_1954,Jaipur,1,896,0,historical,0
TX10359,C1011,2026-06-23 04:46:34,2344.96,UPI,DEV_1656,Noida,3,527,0,historical,1
TX10397,C1030,2026-06-23 09:11:34,3930.19,Netbanking,DEV_3368,Gurugram,0,503,0,historical,0
TX10319,C1034,2026-06-23 14:25:34,2064.14,Wallet,DEV_5391,Noida,0,898,0,historical,0
TX10389,C1008,2026-06-23 14:48:34,6363.34,Wallet,DEV_3056,Chennai,0,31,1,historical,0
TX10516,C1006,2026-06-23 15:48:34,3613.86,UPI,DEV_4370,Ahmedabad,0,211,0,historical,0
TX10155,C1033,2026-06-23 16:48:34,3751.25,Credit Card,DEV_6033,Kolkata,0,377,0,historical,0
TX10091,C1019,2026-06-23 18:03:34,12404.56,UPI,DEV_FRAUD_BURST_99,New York,2,181,0,historical,1
TX10339,C1023,2026-06-24 11:56:34,4194.1,Netbanking,DEV_7293,Gurugram,0,252,0,historical,0
TX10464,C1033,2026-06-24 13:14:34,29516.94,Netbanking,DEV_6033,Ahmedabad,5,377,0,historical,1
TX10082,C1017,2026-06-24 13:55:34,11168.97,Netbanking,DEV_1245,Jaipur,1,864,0,historical,1
TX10305,C1020,2026-06-24 14:56:34,26857.88,UPI,DEV_3368,New York,3,56,0,historical,1
TX10280,C1024,2026-06-24 17:27:34,2491.23,Credit Card,DEV_5391,Bengaluru,0,287,0,historical,0
TX10330,C1033,2026-06-24 22:26:34,2833.58,UPI,DEV_6033,Ahmedabad,0,377,0,historical,0
TX10170,C1011,2026-06-25 02:28:34,976.92,Netbanking,DEV_1195,Gurugram,0,527,0,historical,0
TX10373,C1009,2026-06-25 05:13:34,1725.02,Credit Card,DEV_5834,Ahmedabad,0,282,0,historical,0
TX10000,C1039,2026-06-25 17:23:34,3260.82,UPI,DEV_1656,Chennai,0,653,0,historical,0
TX10348,C1015,2026-06-25 23:43:34,3071.57,UPI,DEV_3365,Delhi,0,362,0,historical,0
TX10424,C1012,2026-06-26 02:42:34,1877.93,Credit Card,DEV_6001,Kolkata,0,832,0,historical,0
TX10085,C1003,2026-06-26 04:46:34,7243.73,Debit Card,DEV_4535,Bengaluru,1,398,0,historical,1
TX10352,C1003,2026-06-26 12:03:34,13564.86,Netbanking,DEV_6845,Bengaluru,2,398,0,historical,1
TX10479,C1030,2026-06-26 12:34:34,3024.32,Credit Card,DEV_3368,Chennai,0,503,0,historical,0
TX10522,C1019,2026-06-26 12:48:34,8692.12,Debit Card,DEV_8951,New York,3,181,0,historical,1
TX10336,C1023,2026-06-26 13:26:34,7729.36,UPI,DEV_FRAUD_BURST_99,London,2,252,0,historical,1
TX10144,C1034,2026-06-26 20:34:34,3124.34,Credit Card,DEV_5391,Noida,0,898,0,historical,0
TX10041,C1009,2026-06-26 21:32:34,10552.73,Wallet,DEV_9316,Ahmedabad,3,282,0,historical,1
TX10449,C1016,2026-06-27 08:35:34,4413.37,Credit Card,DEV_5391,Gurugram,0,846,0,historical,0
TX10472,C1017,2026-06-27 13:19:34,5633.92,Wallet,DEV_2780,Jaipur,1,864,0,historical,0
TX10181,C1004,2026-06-27 19:06:34,2801.65,Netbanking,DEV_6864,Delhi,0,595,0,historical,0
TX10460,C1027,2026-06-27 23:00:34,32899.32,UPI,DEV_6033,London,4,16,0,historical,1
TX10451,C1029,2026-06-28 04:57:34,3571.67,Debit Card,DEV_8380,Noida,0,719,0,historical,0
TX10478,C1010,2026-06-28 06:05:34,657.3,Wallet,DEV_6001,Jaipur,0,187,0,historical,0
TX10136,C1018,2026-06-28 06:36:34,19581.86,Wallet,DEV_8000,New York,1,518,0,historical,1
TX10148,C1032,2026-06-28 10:00:34,9241.65,Debit Card,DEV_FRAUD_BURST_99,New York,2,469,0,historical,1
TX10256,C1018,2026-06-28 15:12:34,8320.99,Wallet,DEV_2877,Jaipur,1,518,0,historical,1
TX10080,C1032,2026-06-28 17:13:34,16852.81,UPI,DEV_9382,Jaipur,2,469,0,historical,1
TX10058,C1000,2026-06-28 17:37:34,26780.76,Credit Card,DEV_9211,Jaipur,2,183,0,historical,1
