transaction_id,customer_id,timestamp,amount,payment_method,device_id,location,failed_attempts,account_age_days,previous_chargebacks,transaction_status,is_fraud
TX10258,C1018,2026-06-06 23:36:55,17311.03,Wallet,DEV_5819,Hyderabad,2,439,0,historical,1
TX10349,C1033,2026-06-07 00:50:55,643.32,Wallet,DEV_5162,Chennai,0,807,0,historical,0
TX10212,C1037,2026-06-07 01:44:55,5219.93,Debit Card,DEV_5819,Noida,0,271,0,historical,0
TX10154,C1018,2026-06-07 07:38:55,29955.45,Netbanking,DEV_6291,Hyderabad,5,439,0,historical,1
TX10478,C1006,2026-06-07 17:45:55,3823.64,Credit Card,DEV_7357,Pune,1,194,0,historical,1
TX10183,C1024,2026-06-07 19:11:55,5877.81,Debit Card,DEV_9980,Ahmedabad,1,612,0,historical,0
TX10481,C1000,2026-06-07 19:30:55,8854.24,Wallet,DEV_FRAUD_BURST_99,London,2,452,0,historical,1
TX10253,C1011,2026-06-07 20:16:55,876.35,Wallet,DEV_2444,Noida,0,170,0,historical,0
TX10213,C1020,2026-06-07 23:29:55,11118.12,Credit Card,DEV_FRAUD_BURST_99,London,2,875,0,historical,1
TX10087,C1012,2026-06-08 03:16:55,8767.77,Debit Card,DEV_FRAUD_BURST_99,New York,2,864,0,historical,1
TX10328,C1021,2026-06-08 11:45:55,1328.91,UPI,DEV_8161,Jaipur,0,157,0,historical,0
TX10498,C1018,2026-06-08 13:43:55,6767.63,Netbanking,DEV_6291,Hyderabad,0,439,0,historical,0
TX10425,C1026,2026-06-08 20:35:55,1093.44,Wallet,DEV_1293,Ahmedabad,0,206,0,historical,0
TX10106,C1001,2026-06-09 03:35:55,13715.56,Credit Card,DEV_7359,Ahmedabad,4,499,0,historical,1
TX10284,C1025,2026-06-09 06:25:55,10841.66,Debit Card,DEV_8670,Bengaluru,1,218,0,historical,0
TX10337,C1025,2026-06-09 17:38:55,17819.26,Debit Card,DEV_FRAUD_BURST_99,London,2,218,0,historical,1
TX10268,C1016,2026-06-09 21:48:55,435.86,Credit Card,DEV_8823,Hyderabad,0,548,0,historical,0
TX10108,C1007,2026-06-10 05:55:55,1051.17,Wallet,DEV_1483,Bengaluru,0,608,0,historical,0
TX10184,C1001,2026-06-10 06:57:55,3620.69,UPI,DEV_7359,Ahmedabad,0,499,0,historical,0
TX10509,C1026,2026-06-10 07:34:55,681.8,Netbanking,DEV_1293,Ahmedabad,0,206,0,historical,0
TX10134,C1037,2026-06-10 08:32:55,16291.02,Wallet,DEV_FRAUD_BURST_99,London,2,271,0,historical,1
TX10140,C1029,2026-06-10 08:56:55,4676.17,Wallet,DEV_5197,Gurugram,0,892,0,historical,0
TX10037,C1024,2026-06-10 09:18:55,3531.1,Wallet,DEV_9980,Ahmedabad,0,612,0,historical,0
TX10274,C1002,2026-06-10 11:02:55,7489.71,UPI,DEV_2802,Bengaluru,1,834,0,historical,0
TX10128,C1012,2026-06-10 11:05:55,9686.39,Debit Card,DEV_8670,New York,3,864,0,historical,1
TX10251,C1035,2026-06-10 11:52:55,8102.51,Netbanking,DEV_9508,Gurugram,3,657,0,historical,1
TX10147,C1037,2026-06-10 12:27:55,5588.84,Debit Card,DEV_9499,Noida,0,271,0,historical,0
TX10199,C1030,2026-06-10 13:36:55,948.83,Debit Card,DEV_2547,Gurugram,0,6,0,historical,0
TX10029,C1009,2026-06-10 20:50:55,8237.61,UPI,DEV_FRAUD_BURST_99,New York,2,292,0,historical,1
TX10275,C1000,2026-06-10 22:46:55,5091.73,Credit Card,DEV_6033,Gurugram,1,452,0,historical,0
TX10435,C1008,2026-06-10 23:34:55,19677.02,UPI,DEV_3966,London,3,556,0,historical,1
TX10146,C1022,2026-06-11 00:06:55,4799.51,Wallet,DEV_2802,Hyderabad,0,260,0,historical,0
TX10186,C1014,2026-06-11 02:29:55,9125.61,Debit Card,DEV_8823,Noida,1,832,0,historical,0
TX10394,C1028,2026-06-11 08:56:55,14026.69,UPI,DEV_9508,New York,3,121,0,historical,1
TX10000,C1032,2026-06-11 10:32:55,2041.33,UPI,DEV_4196,Bengaluru,0,605,0,historical,0
TX10033,C1009,2026-06-11 22:46:55,1809.52,Credit Card,DEV_4873,Bengaluru,0,292,0,historical,0
TX10269,C1013,2026-06-11 23:23:55,4185.21,UPI,DEV_9196,Pune,0,881,0,historical,0
TX10272,C1002,2026-06-12 05:43:55,13768.45,Wallet,DEV_2802,Bengaluru,5,834,0,historical,1
TX10503,C1011,2026-06-12 07:28:55,998.76,Debit Card,DEV_2444,Noida,0,170,0,historical,0
TX10406,C1036,2026-06-12 10:33:55,4833.52,Credit Card,DEV_1055,Gurugram,1,631,0,historical,0
TX10360,C1008,2026-06-12 11:44:55,3326.35,Netbanking,DEV_8759,Jaipur,0,556,0,historical,0
TX10227,C1008,2026-06-12 14:53:55,3492.78,Debit Card,DEV_8759,Jaipur,0,556,0,historical,0
TX10173,C1006,2026-06-12 18:03:55,6727.06,Netbanking,DEV_5162,London,3,194,0,historical,1
TX10113,C1025,2026-06-13 09:02:55,8604.39,Credit Card,DEV_8670,Bengaluru,1,218,0,historical,0
TX10279,C1026,2026-06-13 22:45:55,1924.61,Debit Card,DEV_1293,Ahmedabad,0,206,0,historical,0
TX10454,C1016,2026-06-14 02:23:55,833.97,Wallet,DEV_8823,Hyderabad,0,548,0,historical,0
TX10283,C1038,2026-06-14 14:09:55,20977.85,Netbanking,DEV_2034,Noida,1,798,0,historical,1
TX10010,C1035,2026-06-14 16:40:55,6097.03,Netbanking,DEV_FRAUD_BURST_99,London,2,657,0,historical,1
TX10379,C1003,2026-06-14 17:32:55,8041.1,Netbanking,DEV_4873,Delhi,2,267,0,historical,1
TX10202,C1035,2026-06-14 20:29:55,5772.9,Wallet,DEV_9508,Gurugram,3,657,0,historical,1
TX10097,C1006,2026-06-15 00:18:55,4104.25,Credit Card,DEV_5808,Pune,2,194,0,historical,1
TX10320,C1035,2026-06-15 02:41:55,3260.53,Netbanking,DEV_9508,Gurugram,1,657,0,historical,0
TX10115,C1028,2026-06-15 04:29:55,3274.71,Debit Card,DEV_7359,Chennai,0,121,0,historical,0
TX10396,C1007,2026-06-15 05:38:55,6015.27,Credit Card,DEV_1483,Bengaluru,5,608,0,historical,1
TX10006,C1006,2026-06-15 07:00:55,3820.29,UPI,DEV_8002,Pune,2,194,0,historical,1
TX10042,C1006,2026-06-15 09:52:55,1454.09,Credit Card,DEV_3966,Pune,0,194,0,historical,0
TX10162,C1014,2026-06-15 09:56:55,5220.62,Debit Card,DEV_8823,Noida,0,832,0,historical,0
TX10412,C1007,2026-06-15 14:28:55,2369.82,Credit Card,DEV_1483,Bengaluru,1,608,0,historical,0
TX10376,C1001,2026-06-15 16:13:55,4810.89,Netbanking,DEV_7359,Jaipur,1,499,0,historical,0
TX10130,C1012,2026-06-15 17:58:55,8357.61,Wallet,DEV_9160,Mumbai,3,864,0,historical,1
TX10076,C1018,2026-06-15 21:06:55,5979.89,Credit Card,DEV_6291,Hyderabad,0,439,0,historical,0
TX10211,C1030,2026-06-16 00:05:55,8295.14,UPI,DEV_2547,Gurugram,3,6,0,historical,1
TX10514,C1003,2026-06-16 11:39:55,6181.96,UPI,DEV_6528,Delhi,3,267,0,historical,1
TX10144,C1029,2026-06-16 15:16:55,12197.65,Netbanking,DEV_8759,Gurugram,2,892,0,historical,1
TX10011,C1001,2026-06-16 21:36:55,12664.03,Debit Card,DEV_7359,Ahmedabad,4,499,0,historical,1
TX10070,C1021,2026-06-16 22:48:55,7382.46,UPI,DEV_FRAUD_BURST_99,New York,2,157,0,historical,1
TX10431,C1024,2026-06-17 02:44:55,5236.1,Credit Card,DEV_5808,Ahmedabad,1,612,0,historical,1
TX10086,C1023,2026-06-17 10:35:55,24588.68,Netbanking,DEV_8823,Noida,2,458,0,historical,1
TX10417,C1016,2026-06-17 19:01:55,1496.58,Netbanking,DEV_8823,Delhi,1,548,0,historical,0
TX10139,C1025,2026-06-18 07:15:55,4520.41,UPI,DEV_8670,Bengaluru,0,218,0,historical,0
TX10215,C1028,2026-06-18 16:47:55,1985.19,Credit Card,DEV_2357,Chennai,0,121,0,historical,0
TX10437,C1016,2026-06-18 19:05:55,1673.76,Wallet,DEV_8823,Hyderabad,1,548,0,historical,0
TX10254,C1010,2026-06-18 20:13:55,9880.03,Credit Card,DEV_9194,New York,3,105,0,historical,1
TX10418,C1003,2026-06-19 04:10:55,1889.42,Wallet,DEV_3776,Delhi,0,267,0,historical,0
TX10446,C1018,2026-06-19 04:20:55,8975.69,Credit Card,DEV_6291,Hyderabad,1,439,0,historical,0
