transaction_id,customer_id,timestamp,amount,payment_method,device_id,location,failed_attempts,account_age_days,previous_chargebacks,transaction_status,is_fraud
TX10409,C1017,2026-06-06 20:56:55,1945.95,Wallet,DEV_7325,Ahmedabad,0,117,0,historical,0
TX10065,C1027,2026-06-07 00:52:55,11402.89,Netbanking,DEV_9488,Delhi,1,310,0,historical,1
TX10230,C1019,2026-06-07 02:15:55,3113.78,UPI,DEV_1478,Hyderabad,0,506,0,historical,0
TX10080,C1007,2026-06-07 06:56:55,7634.85,Netbanking,DEV_5310,Ahmedabad,1,19,0,historical,0
TX10518,C1012,2026-06-07 07:09:55,7217.13,Wallet,DEV_3535,Hyderabad,1,204,0,historical,0
TX10462,C1005,2026-06-07 09:22:55,34934.2,Netbanking,DEV_FRAUD_BURST_99,London,2,360,0,historical,1
TX10351,C1010,2026-06-07 17:25:55,6635.39,Wallet,DEV_3529,London,1,85,0,historical,1
TX10088,C1003,2026-06-07 18:57:55,27339.13,UPI,DEV_8692,London,3,733,0,historical,1
TX10276,C1024,2026-06-07 22:14:55,3320.99,Wallet,DEV_9545,Delhi,1,860,0,historical,1
TX10309,C1021,2026-06-08 02:39:55,5387.22,UPI,DEV_FRAUD_BURST_99,London,2,395,0,historical,1
TX10423,C1018,2026-06-08 05:07:55,8398.69,UPI,DEV_4351,Noida,1,555,0,historical,1
TX10042,C1000,2026-06-08 06:53:55,12244.38,Netbanking,DEV_3391,New York,4,121,1,historical,1
TX10245,C1028,2026-06-08 08:01:55,7394.45,Credit Card,DEV_5056,Kolkata,0,354,0,historical,0
TX10263,C1023,2026-06-08 09:54:55,1244.32,Wallet,DEV_4656,Hyderabad,0,816,0,historical,0
TX10334,C1021,2026-06-08 14:38:55,4819.01,Credit Card,DEV_FRAUD_BURST_99,London,2,395,0,historical,1
TX10414,C1035,2026-06-08 14:46:55,5008.44,Wallet,DEV_9860,Kolkata,2,290,0,historical,1
TX10310,C1008,2026-06-08 16:11:55,15375.96,Debit Card,DEV_3529,Hyderabad,2,831,0,historical,1
TX10156,C1021,2026-06-08 20:52:55,1243.65,Credit Card,DEV_4820,Kolkata,0,395,0,historical,0
TX10078,C1038,2026-06-08 21:11:55,2058.8,UPI,DEV_5645,Delhi,1,897,0,historical,0
TX10293,C1038,2026-06-09 02:14:55,1134.38,Credit Card,DEV_5645,Delhi,0,897,0,historical,0
TX10383,C1014,2026-06-09 06:03:55,9671.08,UPI,DEV_2885,London,3,361,0,historical,1
TX10254,C1032,2026-06-09 07:46:55,3336.81,Credit Card,DEV_2040,Bengaluru,0,493,0,historical,0
TX10010,C1037,2026-06-09 13:30:55,18357.92,Wallet,DEV_4820,London,1,469,0,historical,1
TX10392,C1009,2026-06-09 18:51:55,8835.82,Netbanking,DEV_3213,Bengaluru,0,237,0,historical,0
TX10477,C1020,2026-06-09 18:57:55,8002.53,Debit Card,DEV_9860,Kolkata,1,292,0,historical,1
TX10416,C1033,2026-06-09 22:46:55,943.01,Debit Card,DEV_5310,Ahmedabad,0,521,0,historical,0
TX10522,C1037,2026-06-10 16:25:55,10142.54,Wallet,DEV_9580,Bengaluru,1,469,0,historical,1
TX10229,C1023,2026-06-11 06:56:55,14300.7,Debit Card,DEV_4656,Hyderabad,4,816,0,historical,1
TX10506,C1017,2026-06-11 11:05:55,5360.45,Credit Card,DEV_7325,Ahmedabad,0,117,0,historical,0
TX10225,C1030,2026-06-12 09:17:55,2481.74,UPI,DEV_2885,Mumbai,0,575,0,historical,0
TX10301,C1014,2026-06-12 13:14:55,1942.01,UPI,DEV_7325,Gurugram,0,361,0,historical,0
TX10282,C1008,2026-06-13 10:56:55,25992.07,Wallet,DEV_5440,London,4,831,0,historical,1
TX10261,C1035,2026-06-13 13:49:55,9477.24,Credit Card,DEV_2043,London,2,290,0,historical,1
TX10283,C1038,2026-06-13 14:59:55,4517.78,Wallet,DEV_1285,New York,3,897,0,historical,1
TX10079,C1031,2026-06-13 23:13:55,38132.48,Debit Card,DEV_FRAUD_BURST_99,New York,2,769,0,historical,1
TX10231,C1022,2026-06-14 08:22:55,46458.78,UPI,DEV_4820,Bengaluru,4,474,0,historical,1
TX10370,C1022,2026-06-14 08:26:55,7394.12,Debit Card,DEV_4820,Bengaluru,0,474,0,historical,0
TX10422,C1033,2026-06-14 11:54:55,4935.86,Credit Card,DEV_5153,Ahmedabad,2,521,0,historical,1
TX10405,C1002,2026-06-14 17:04:55,11425.03,Netbanking,DEV_FRAUD_BURST_99,London,2,861,0,historical,1
TX10235,C1029,2026-06-14 19:41:55,10801.98,Debit Card,DEV_FRAUD_BURST_99,New York,2,606,0,historical,1
TX10033,C1009,2026-06-14 21:16:55,27917.08,Credit Card,DEV_3213,Bengaluru,4,237,0,historical,1
TX10290,C1024,2026-06-14 22:05:55,2166.33,Netbanking,DEV_5725,Delhi,0,860,0,historical,0
