transaction_id,customer_id,timestamp,amount,payment_method,device_id,location,failed_attempts,account_age_days,previous_chargebacks,transaction_status,is_fraud
TX10367,C1008,2026-05-29 22:38:34,1573.27,Debit Card,DEV_4329,Kolkata,0,102,0,historical,0
TX10441,C1030,2026-05-29 23:17:34,3462.86,Netbanking,DEV_4926,Ahmedabad,0,175,0,historical,0
TX10348,C1006,2026-05-30 00:29:34,4433.55,Netbanking,DEV_5392,London,3,564,0,historical,1
TX10225,C1017,2026-05-30 07:01:34,2464.94,Wallet,DEV_9319,Mumbai,0,751,0,historical,0
TX10464,C1014,2026-05-30 11:32:34,12743.77,UPI,DEV_8574,London,3,103,0,historical,1
TX10459,C1027,2026-05-30 12:09:34,10927.83,Credit Card,DEV_1265,New York,3,11,0,historical,1
TX10200,C1010,2026-05-30 13:25:34,3008.16,UPI,DEV_FRAUD_BURST_99,London,2,412,0,historical,1
TX10100,C1035,2026-05-30 13:34:34,9659.91,Netbanking,DEV_7315,Chennai,1,114,0,historical,1
TX10410,C1032,2026-05-31 02:55:34,16405.84,Debit Card,DEV_1265,Jaipur,1,67,0,historical,1
TX10365,C1029,2026-05-31 08:23:34,4144.45,Credit Card,DEV_9233,Kolkata,3,752,1,historical,1
TX10380,C1019,2026-05-31 08:50:34,7832.66,Debit Card,DEV_FRAUD_BURST_99,London,2,290,0,historical,1
TX10305,C1012,2026-05-31 09:12:34,626.0,Netbanking,DEV_5414,Gurugram,0,34,0,historical,0
TX10223,C1003,2026-06-01 00:32:34,23023.64,Wallet,DEV_4439,New York,3,193,0,historical,1
TX10500,C1000,2026-06-01 03:23:34,7771.12,UPI,DEV_9928,Chennai,2,488,0,historical,1
TX10011,C1031,2026-06-01 11:18:34,5965.23,UPI,DEV_1956,Kolkata,3,803,0,historical,1
TX10105,C1022,2026-06-01 14:55:34,1391.0,Wallet,DEV_6385,Noida,0,864,0,historical,0
TX10506,C1013,2026-06-01 16:52:34,10427.24,Netbanking,DEV_4868,Noida,2,76,0,historical,1
TX10192,C1033,2026-06-02 05:33:34,7357.4,Credit Card,DEV_9103,Pune,0,427,0,historical,0
TX10420,C1031,2026-06-02 07:27:34,4055.52,UPI,DEV_3891,Kolkata,1,803,0,historical,1
TX10201,C1034,2026-06-02 15:07:34,26042.75,Credit Card,DEV_5197,Bengaluru,5,387,0,historical,1
TX10346,C1021,2026-06-02 16:45:34,1591.3,Wallet,DEV_4329,Gurugram,0,16,0,historical,0
TX10373,C1008,2026-06-02 18:07:34,3319.02,UPI,DEV_4439,Kolkata,0,102,0,historical,0
TX10444,C1003,2026-06-02 21:42:34,20752.7,UPI,DEV_FRAUD_BURST_99,London,2,193,0,historical,1
TX10019,C1031,2026-06-02 22:36:34,3817.14,UPI,DEV_2401,Kolkata,0,803,0,historical,0
TX10147,C1006,2026-06-03 02:21:34,5371.62,UPI,DEV_FRAUD_BURST_99,London,2,564,0,historical,1
TX10069,C1026,2026-06-03 06:35:34,16111.85,Netbanking,DEV_3908,New York,1,305,0,historical,1
TX10493,C1023,2026-06-03 06:43:34,1641.78,Netbanking,DEV_4329,Hyderabad,3,741,0,historical,1
TX10315,C1036,2026-06-03 14:57:34,4215.68,Credit Card,DEV_7682,Kolkata,0,382,0,historical,0
TX10232,C1006,2026-06-03 16:09:34,3598.62,Credit Card,DEV_FRAUD_BURST_99,New York,2,564,0,historical,1
TX10509,C1000,2026-06-03 19:56:34,2814.58,Credit Card,DEV_7315,Chennai,0,488,0,historical,0
TX10126,C1008,2026-06-04 05:46:34,16659.17,Wallet,DEV_4329,Kolkata,2,102,0,historical,1
TX10062,C1036,2026-06-04 10:02:34,12658.5,Wallet,DEV_FRAUD_BURST_99,New York,2,382,0,historical,1
TX10402,C1028,2026-06-04 12:38:34,2336.92,Debit Card,DEV_7482,Ahmedabad,0,395,0,historical,0
TX10071,C1025,2026-06-04 17:11:34,28544.68,Credit Card,DEV_1341,Hyderabad,2,153,0,historical,1
TX10511,C1005,2026-06-04 22:48:34,15639.92,Wallet,DEV_2273,Bengaluru,4,182,0,historical,1
TX10070,C1019,2026-06-05 08:32:34,1579.91,Debit Card,DEV_3787,Bengaluru,0,290,0,historical,0
TX10028,C1037,2026-06-05 11:51:34,4722.75,Credit Card,DEV_4439,Gurugram,0,713,1,historical,0
TX10030,C1035,2026-06-05 13:13:34,3559.24,UPI,DEV_2043,Chennai,0,114,0,historical,0
TX10264,C1037,2026-06-05 15:09:34,2013.39,Debit Card,DEV_4439,Gurugram,0,713,1,historical,0
TX10159,C1012,2026-06-05 16:39:34,1188.45,UPI,DEV_5414,Gurugram,0,34,0,historical,0
TX10448,C1020,2026-06-06 00:50:34,5646.9,UPI,DEV_7423,Pune,1,712,0,historical,1
TX10485,C1013,2026-06-06 03:31:34,6764.53,UPI,DEV_6661,Noida,0,76,0,historical,0
TX10278,C1001,2026-06-06 04:52:34,3593.08,Wallet,DEV_8445,Mumbai,0,710,0,historical,0
TX10014,C1012,2026-06-06 04:57:34,1440.93,Debit Card,DEV_5197,Gurugram,2,34,0,historical,1
TX10183,C1027,2026-06-06 06:32:34,2470.32,Wallet,DEV_7842,Pune,0,11,0,historical,0
TX10436,C1027,2026-06-06 10:51:34,12950.99,UPI,DEV_7842,Pune,3,11,0,historical,1
TX10131,C1010,2026-06-06 13:51:34,1863.59,UPI,DEV_1598,Bengaluru,3,412,0,historical,1
TX10226,C1019,2026-06-06 16:34:34,5032.91,Netbanking,DEV_2287,Bengaluru,1,290,0,historical,1
TX10134,C1007,2026-06-06 16:36:34,3969.35,Netbanking,DEV_9233,Kolkata,0,669,0,historical,0
TX10431,C1024,2026-06-06 23:10:34,6405.76,Wallet,DEV_8084,Pune,0,511,0,historical,0
TX10224,C1039,2026-06-07 11:33:34,8972.33,Credit Card,DEV_6703,Chennai,5,113,0,historical,1
TX10041,C1027,2026-06-07 13:15:34,5463.35,UPI,DEV_6972,Pune,3,11,0,historical,1
TX10034,C1003,2026-06-08 01:07:34,16049.06,Credit Card,DEV_7389,Kolkata,3,193,0,historical,1
TX10141,C1001,2026-06-08 02:57:34,37193.63,Wallet,DEV_8445,Mumbai,4,710,0,historical,1
TX10149,C1030,2026-06-08 10:27:34,12052.22,Debit Card,DEV_FRAUD_BURST_99,London,2,175,0,historical,1
TX10020,C1011,2026-06-08 12:41:34,1439.94,Netbanking,DEV_8574,Kolkata,0,649,0,historical,0
TX10043,C1007,2026-06-08 19:55:34,25902.71,Netbanking,DEV_9233,Kolkata,4,669,0,historical,1
TX10133,C1017,2026-06-08 23:01:34,1006.28,Netbanking,DEV_9028,Mumbai,0,751,0,historical,0
TX10473,C1030,2026-06-09 00:35:34,4147.37,Netbanking,DEV_4926,Ahmedabad,0,175,0,historical,0
TX10314,C1033,2026-06-09 12:15:34,49904.82,Credit Card,DEV_9103,Pune,4,427,0,historical,1
TX10015,C1036,2026-06-09 18:49:34,1792.51,Credit Card,DEV_7682,Kolkata,0,382,0,historical,0
TX10291,C1024,2026-06-09 20:51:34,24503.92,UPI,DEV_2384,London,4,511,0,historical,1
TX10036,C1026,2026-06-09 23:33:34,16602.63,Netbanking,DEV_FRAUD_BURST_99,London,2,305,0,historical,1
TX10470,C1031,2026-06-10 00:30:34,9795.71,Credit Card,DEV_9009,London,1,803,0,historical,1
TX10273,C1004,2026-06-10 01:57:34,13134.97,UPI,DEV_7482,New York,4,144,0,historical,1
TX10116,C1004,2026-06-10 03:31:34,6407.21,UPI,DEV_FRAUD_BURST_99,London,2,144,0,historical,1
TX10316,C1037,2026-06-10 05:31:34,1954.16,Debit Card,DEV_4439,Gurugram,0,713,1,historical,0
TX10033,C1037,2026-06-10 05:38:34,5283.42,UPI,DEV_4439,Gurugram,0,713,1,historical,0
TX10355,C1024,2026-06-10 13:02:34,13394.95,Netbanking,DEV_FRAUD_BURST_99,London,2,511,0,historical,1
TX10083,C1006,2026-06-10 14:37:34,928.61,Netbanking,DEV_8416,Mumbai,0,564,0,historical,0
TX10191,C1004,2026-06-11 00:43:34,2512.65,UPI,DEV_9233,Ahmedabad,0,144,0,historical,0
TX10129,C1014,2026-06-11 03:20:34,3336.98,Netbanking,DEV_1265,Jaipur,0,103,0,historical,0
TX10458,C1018,2026-06-11 03:41:34,2377.76,Debit Card,DEV_FRAUD_BURST_99,New York,2,183,0,historical,1
