transaction_id,customer_id,timestamp,amount,payment_method,device_id,location,failed_attempts,account_age_days,previous_chargebacks,transaction_status,is_fraud
TX10306,C1008,2026-06-07 03:49:55,1923.68,Credit Card,DEV_7960,Chennai,0,267,0,historical,0
TX10494,C1031,2026-06-07 13:43:55,1950.29,Debit Card,DEV_5291,Gurugram,0,649,0,historical,0
TX10141,C1014,2026-06-07 23:38:55,4683.39,Debit Card,DEV_2739,Pune,0,656,0,historical,0
TX10235,C1034,2026-06-08 01:27:55,2625.51,Netbanking,DEV_5291,Noida,0,242,0,historical,0
TX10307,C1035,2026-06-08 04:11:55,6099.98,UPI,DEV_7521,Pune,0,283,0,historical,0
TX10251,C1016,2026-06-08 07:01:55,2003.93,Debit Card,DEV_4660,Mumbai,0,242,0,historical,0
TX10297,C1017,2026-06-08 07:23:55,8877.94,Credit Card,DEV_8445,Ahmedabad,1,543,0,historical,0
TX10086,C1004,2026-06-08 08:20:55,1525.08,Wallet,DEV_6368,Gurugram,0,184,0,historical,0
TX10446,C1009,2026-06-08 18:16:55,1203.4,Wallet,DEV_7894,Kolkata,0,245,0,historical,0
TX10454,C1022,2026-06-08 20:13:55,6064.37,Wallet,DEV_3796,Gurugram,0,630,0,historical,0
TX10458,C1021,2026-06-09 02:24:55,4069.56,Wallet,DEV_8164,Chennai,0,271,0,historical,0
TX10284,C1018,2026-06-09 04:30:55,10302.73,UPI,DEV_2689,Ahmedabad,1,850,2,historical,0
TX10255,C1034,2026-06-09 12:35:55,3398.03,Debit Card,DEV_5291,Jaipur,0,242,0,historical,0
TX10087,C1027,2026-06-09 15:46:55,8508.65,Wallet,DEV_8900,Kolkata,1,342,0,historical,0
TX10468,C1027,2026-06-10 20:11:55,3102.88,Debit Card,DEV_8900,Kolkata,0,342,0,historical,0
TX10384,C1001,2026-06-11 03:24:55,3094.06,Debit Card,DEV_6245,Ahmedabad,0,351,0,historical,0
TX10368,C1003,2026-06-11 03:37:55,10560.61,UPI,DEV_8903,Chennai,0,268,0,historical,0
TX10142,C1029,2026-06-11 06:11:55,1685.07,Credit Card,DEV_3899,Mumbai,0,338,0,historical,0
TX10362,C1004,2026-06-11 14:54:55,767.42,UPI,DEV_6368,Noida,0,184,0,historical,0
TX10183,C1010,2026-06-12 05:55:55,1962.09,Wallet,DEV_4070,Delhi,0,598,0,historical,0
TX10434,C1033,2026-06-13 01:16:55,602.38,Wallet,DEV_2568,Gurugram,0,531,0,historical,0
TX10325,C1002,2026-06-13 09:29:55,1593.03,Debit Card,DEV_6210,Jaipur,0,186,1,historical,0
TX10495,C1037,2026-06-13 13:48:55,11509.88,Wallet,DEV_5412,Pune,1,453,0,historical,0
TX10152,C1023,2026-06-13 17:14:55,2413.45,Debit Card,DEV_4423,Chennai,0,526,0,historical,0
TX10388,C1037,2026-06-13 22:22:55,15017.63,Debit Card,DEV_5412,Pune,0,453,0,historical,0
TX10188,C1038,2026-06-13 23:01:55,5077.49,Credit Card,DEV_6245,Ahmedabad,0,657,0,historical,0
TX10254,C1020,2026-06-13 23:55:55,6778.36,Debit Card,DEV_9691,Delhi,0,882,0,historical,0
TX10295,C1024,2026-06-14 01:44:55,4751.91,Wallet,DEV_8900,Chennai,0,648,1,historical,0
TX10192,C1039,2026-06-14 02:48:55,2313.22,Netbanking,DEV_3977,Delhi,0,697,0,historical,0
TX10083,C1011,2026-06-14 05:06:55,2238.42,UPI,DEV_3899,Pune,1,268,0,historical,0
TX10485,C1017,2026-06-14 06:53:55,2686.24,Debit Card,DEV_8445,Ahmedabad,0,543,0,historical,0
TX10322,C1005,2026-06-14 16:20:55,784.67,Netbanking,DEV_4423,Mumbai,0,628,0,historical,0
TX10237,C1015,2026-06-14 20:04:55,5122.2,Netbanking,DEV_7894,Bengaluru,0,578,0,historical,0
TX10046,C1001,2026-06-14 23:15:55,2593.64,Wallet,DEV_8945,Ahmedabad,0,351,0,historical,0
TX10130,C1010,2026-06-16 00:02:55,1819.45,Debit Card,DEV_4070,Delhi,0,598,0,historical,0
TX10248,C1000,2026-06-16 06:46:55,5192.63,Debit Card,DEV_3977,Kolkata,0,72,0,historical,0
TX10109,C1012,2026-06-16 07:31:55,647.42,UPI,DEV_3613,Delhi,0,721,0,historical,0
TX10204,C1028,2026-06-16 14:42:55,4058.98,UPI,DEV_7960,Chennai,0,658,0,historical,0
TX10360,C1033,2026-06-16 20:21:55,550.63,UPI,DEV_2568,Noida,0,531,0,historical,0
TX10331,C1024,2026-06-17 05:23:55,8154.92,Debit Card,DEV_1534,Delhi,1,648,1,historical,0
TX10421,C1017,2026-06-17 08:13:55,3649.1,Netbanking,DEV_8445,Ahmedabad,0,543,0,historical,0
TX10196,C1001,2026-06-17 19:03:55,2227.69,Debit Card,DEV_6245,Ahmedabad,0,351,0,historical,0
