transaction_id,customer_id,timestamp,amount,payment_method,device_id,location,failed_attempts,account_age_days,previous_chargebacks,transaction_status,is_fraud
TX10308,C1004,2026-06-06 21:18:55,2370.13,UPI,DEV_5548,Hyderabad,0,313,0,historical,0
TX10426,C1040,2026-06-07 02:00:55,2133.86,Debit Card,DEV_8143,Mumbai,0,423,0,historical,0
TX10396,C1012,2026-06-07 04:00:55,5099.84,Credit Card,DEV_2111,Jaipur,3,720,0,historical,1
TX10405,C1014,2026-06-07 04:26:55,5736.5,UPI,DEV_5128,Chennai,0,488,0,historical,0
TX10433,C1037,2026-06-07 08:17:55,2428.02,Wallet,DEV_2173,Delhi,0,86,1,historical,0
TX10713,C1018,2026-06-07 10:00:55,35593.71,Debit Card,DEV_5754,London,1,151,0,historical,1
TX10947,C1026,2026-06-07 13:20:55,15087.53,Wallet,DEV_4725,Hyderabad,1,545,0,historical,0
TX10769,C1028,2026-06-07 14:53:55,1765.28,Wallet,DEV_6590,Jaipur,0,581,0,historical,0
TX10259,C1008,2026-06-07 17:03:55,4213.64,UPI,DEV_2111,Kolkata,0,428,0,historical,0
TX10628,C1005,2026-06-07 18:29:55,4936.39,Netbanking,DEV_9066,Noida,3,248,2,historical,1
TX10457,C1020,2026-06-07 19:47:55,2457.33,Netbanking,DEV_2201,Jaipur,0,736,0,historical,0
TX10062,C1017,2026-06-07 23:46:55,4685.96,Debit Card,DEV_5637,Gurugram,0,256,0,historical,0
TX10065,C1046,2026-06-08 00:56:55,17395.62,Wallet,DEV_4352,Mumbai,2,596,0,historical,1
TX10151,C1008,2026-06-08 02:59:55,11553.39,Credit Card,DEV_9029,Kolkata,0,428,0,historical,0
TX10421,C1045,2026-06-08 12:22:55,2541.06,Credit Card,DEV_9564,Ahmedabad,0,96,0,historical,0
TX11049,C1026,2026-06-08 13:40:55,7144.32,Netbanking,DEV_4725,Hyderabad,0,545,0,historical,0
TX10991,C1047,2026-06-08 14:11:55,901.32,Wallet,DEV_6951,Chennai,1,96,0,historical,0
TX10458,C1015,2026-06-08 21:19:55,2840.47,Wallet,DEV_4305,Jaipur,0,367,0,historical,0
TX11025,C1029,2026-06-08 23:25:55,6897.66,Netbanking,DEV_5754,Mumbai,1,174,0,historical,0
TX10342,C1035,2026-06-09 00:36:55,4339.41,Wallet,DEV_2201,Kolkata,1,276,0,historical,0
TX10343,C1002,2026-06-09 00:55:55,875.36,Debit Card,DEV_8595,Noida,0,800,0,historical,0
TX10298,C1036,2026-06-09 10:42:55,4685.93,Credit Card,DEV_2676,Jaipur,0,816,0,historical,0
TX10830,C1045,2026-06-09 14:55:55,1054.66,Netbanking,DEV_9564,Ahmedabad,0,96,0,historical,0
TX10351,C1016,2026-06-09 16:34:55,2259.8,Wallet,DEV_7307,Noida,0,580,0,historical,0
TX10280,C1023,2026-06-09 17:30:55,1839.99,UPI,DEV_5433,Gurugram,0,19,1,historical,0
TX10290,C1047,2026-06-09 19:40:55,242.1,UPI,DEV_6951,Chennai,0,96,0,historical,0
TX10409,C1040,2026-06-10 01:07:55,2795.09,Debit Card,DEV_8143,Mumbai,0,423,0,historical,0
TX10849,C1038,2026-06-10 04:37:55,4431.83,Netbanking,DEV_6245,Chennai,0,429,0,historical,0
TX10929,C1041,2026-06-10 05:03:55,14567.91,Debit Card,DEV_3216,Kolkata,1,798,0,historical,0
TX10803,C1005,2026-06-10 07:32:55,14355.06,Netbanking,DEV_9840,Noida,2,248,2,historical,1
TX10762,C1036,2026-06-10 11:03:55,21940.71,Wallet,DEV_6590,London,3,816,0,historical,1
